Project_Name,Sample_Name,Filter_ID,Extraction_Date_Year,Extraction_Date_Month,Extraction_Date_Day,Nucleic_Acid_Type,NA_Concentration,Extraction_Buffer,Kit_Used_for_Extraction,Volume_or_Mass_Stored,spacer_3,Notes
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_ME_24hr,GEODES119,,,,DNA,,,,1mL,,Sent to JGI for library prep
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_ME_24hr,GEODES120,,,,DNA,,,,1mL,,Sent to JGI for library prep
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_ME_28hr,GEODES145,2016,7,26,RNA,5-10 ng/uL in 30 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,250mL,,Sequenced
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_ME_28hr,GEODES146,2016,7,26,RNA,5-10 ng/uL in 30 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,250mL,,Failed JGI QC
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_ME_28hr,GEODES147,2016,7,26,RNA,5-10 ng/uL in 30 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,250mL,,Sequenced
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_ME_28hr,GEODES148,2016,11,17,RNA,2.8 ng/uL in 28 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,250mL,,Sequenced
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_ME_32hr,GEODES149,2016,7,26,RNA,5-10 ng/uL in 30 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,300mL,,Failed JGI QC
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_ME_32hr,GEODES150,2016,7,26,RNA,5-10 ng/uL in 30 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,300mL,,Sequenced
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_ME_32hr,GEODES151,2016,7,26,RNA,5-10 ng/uL in 30 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,300mL,,Failed JGI QC
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_ME_32hr,GEODES152,2016,11,17,RNA,1.7 ng/uL in 28 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,300mL,,Sequenced
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_ME_36hr,GEODES153,2016,7,26,RNA,5-10 ng/uL in 30 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,250mL,,Pump times are long because pump tube got cinched in pump. Sequenced
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_ME_36hr,GEODES154,2016,7,26,RNA,5-10 ng/uL in 30 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,250mL,,Pump times are long because pump tube got cinched in pump. Sequenced
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_ME_36hr,GEODES155,2016,7,26,RNA,5-10 ng/uL in 30 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,250mL,,Pump times are long because pump tube got cinched in pump. Sequenced
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_ME_36hr,GEODES156,2016,11,17,RNA,4 ng/uL in 28 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,250mL,,Pump times are long because pump tube got cinched in pump. Sequenced
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_ME_40hr,GEODES157,2016,7,26,RNA,5-10 ng/uL in 30 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,300mL,,"Glove box was wet so no gloves were worn. However, extra care was taken to not touch filters or tube openings directly. Sequenced"
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_ME_40hr,GEODES158,2016,7,26,RNA,5-10 ng/uL in 30 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,300mL,,"Glove box was wet so no gloves were worn. However, extra care was taken to not touch filters or tube openings directly. Sequenced"
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_ME_40hr,GEODES159,2016,7,26,RNA,5-10 ng/uL in 30 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,300mL,,"Glove box was wet so no gloves were worn. However, extra care was taken to not touch filters or tube openings directly. Sequenced"
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_ME_40hr,GEODES160,2016,11,17,RNA,3 ng/uL in 28 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,300mL,,"Glove box was wet so no gloves were worn. However, extra care was taken to not touch filters or tube openings directly. Sequenced"
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_ME_44hr,GEODES161,2016,7,26,RNA,5-10 ng/uL in 30 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,280mL,,"After collection, the bottle flipped over. So we had less water for the filtering and samples than normal. So the phytoplankton sample is smaller. Sequenced"
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_ME_44hr,GEODES162,2016,7,26,RNA,5-10 ng/uL in 30 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,300mL,,"After collection, the bottle flipped over. So we had less water for the filtering and samples than normal. So the phytoplankton sample is smaller. Sequenced"
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_ME_44hr,GEODES163,2016,7,26,RNA,5-10 ng/uL in 30 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,320mL,,"After collection, the bottle flipped over. So we had less water for the filtering and samples than normal. So the phytoplankton sample is smaller. Sequenced"
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_ME_44hr,GEODES164,2016,11,17,RNA,1.6 ng/uL in 28 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,280mL,,"After collection, the bottle flipped over. So we had less water for the filtering and samples than normal. So the phytoplankton sample is smaller. Sequenced"
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_ME_4hr,GEODES121,2016,7,26,RNA,5-10 ng/uL in 30 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,318mL,,All tubing for filtering had problems. Sequenced
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_ME_4hr,GEODES122,2016,7,26,RNA,5-10 ng/uL in 30 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,327mL,,All tubing for filtering had problems. Sequenced
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_ME_4hr,GEODES123,2016,7,26,RNA,5-10 ng/uL in 30 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,312mL,,All tubing for filtering had problems. Sequenced
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_ME_4hr,GEODES124,2016,11,17,RNA,1.9 ng/uL in 28 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,310mL,,All tubing for filtering had problems. Sequenced
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_ME_8hr,GEODES128,2016,11,17,RNA,0.8 ng/uL in 28 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,300mL,,Sequenced
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_ME_8hr,GEODES125,2016,7,26,RNA,5-10 ng/uL in 30 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,290mL,,Sequenced
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_ME_8hr,GEODES126,2016,7,26,RNA,5-10 ng/uL in 30 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,300mL,,Sequenced
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_ME_8hr,GEODES127,2016,7,26,RNA,5-10 ng/uL in 30 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,300mL,,Failed JGI QC
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_SP_0hr,GEODES001,2016,7,26,RNA,3-8 ng/uL in 30 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,350mL,,Sequenced
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_SP_0hr,GEODES002,2016,7,26,RNA,3-8 ng/uL in 30 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,360mL,,Sequenced
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_SP_0hr,GEODES003,2016,7,26,RNA,3-8 ng/uL in 30 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,330mL,,Sequenced
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_SP_0hr,GEODES004,2016,7,26,RNA,3-8 ng/uL in 30 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,338mL,,Sequenced
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_SP_0hr,GEODES005,2016,10,13,DNA,49.9 ng/uL in 50 uL,TE Buffer,McMahon Lab phenol/chloroform protocol using the same lysis method as the RNA extraction,150mL,,"25 uL sent to JGI, 25 uL remaining"
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_SP_0hr,GEODES006,2016,10,13,DNA,54.7 ng/uL in 50 uL,TE Buffer,McMahon Lab phenol/chloroform protocol using the same lysis method as the RNA extraction,150mL,,"25 uL sent to JGI, 25 uL remaining"
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_SP_0hr,GEODES007,2016,11,17,DNA,,,,1mL,,Sequenced
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_SP_0hr,GEODES008,2016,11,17,DNA,,,,1mL,,Sequenced
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_SP_12hr,GEODES017,2016,7,26,RNA,3-8 ng/uL in 30 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,290mL,,Sequenced
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_SP_12hr,GEODES018,2016,7,26,RNA,3-8 ng/uL in 30 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,296mL,,Sequenced
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_SP_12hr,GEODES019,2016,11,17,RNA,0.9 ng/uL in 28 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,360mL (estimate),,Dumped filtered water before quantifying volume. Volume is an estimate. Sequenced
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_SP_12hr,GEODES020,2016,7,26,RNA,3-8 ng/uL in 30 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,394mL,,Sequenced
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_SP_16hr,GEODES021,2016,7,26,RNA,3-8 ng/uL in 30 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,430mL,,Sequenced
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_SP_16hr,GEODES022,2016,7,26,RNA,3-8 ng/uL in 30 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,440mL,,Sequenced
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_SP_16hr,GEODES023,2016,7,26,RNA,3-8 ng/uL in 30 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,270mL,,Sequenced
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_SP_16hr,GEODES024,2016,11,17,RNA,0.8 ng/uL in 28 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,270mL,,Sequenced
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_SP_20hr,GEODES025,2016,11,17,RNA,0.4 ng/uL in 28 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,330mL,,Leaking at the beginning. Sequenced
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_SP_20hr,GEODES026,2016,7,26,RNA,3-8 ng/uL in 30 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,350mL,,Took nutrient samples. Filtered replicates 1 and 2. Sequenced
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_SP_20hr,GEODES027,2016,7,26,RNA,3-8 ng/uL in 30 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,375mL,,Sequenced
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_SP_20hr,GEODES028,2016,7,26,RNA,3-8 ng/uL in 30 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,,,Sequenced
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_SP_24hr,GEODES029,2016,11,17,RNA,1.1 ng/uL in 28 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,420mL,,Forgot cheese cloth on end. Sequenced
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_SP_24hr,GEODES030,2016,7,26,RNA,3-8 ng/uL in 30 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,440mL,,Sequenced
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_SP_24hr,GEODES031,2016,7,26,RNA,3-8 ng/uL in 30 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,440mL,,Tubing was leaking at the beginning. Sequenced
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_SP_24hr,GEODES032,2016,7,26,RNA,3-8 ng/uL in 30 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,440mL,,Sequenced
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_SP_28hr,GEODES033,2016,7,26,RNA,3-8 ng/uL in 30 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,426mL,,Sequenced
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_SP_28hr,GEODES034,2016,7,26,RNA,3-8 ng/uL in 30 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,450mL,,Failed JGI QC
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_SP_28hr,GEODES035,2016,7,26,RNA,3-8 ng/uL in 30 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,460mL,,Sequenced
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_SP_28hr,GEODES036,2016,11,17,RNA,1.1 ng/uL in 28 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,456mL,,Sequenced
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_SP_32hr,GEODES037,2016,7,26,RNA,3-8 ng/uL in 30 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,380mL,,Sequenced
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_SP_32hr,GEODES038,2016,7,26,RNA,3-8 ng/uL in 30 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,360mL,,Sequenced
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_SP_32hr,GEODES039,2016,7,26,RNA,3-8 ng/uL in 30 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,400mL,,Sequenced
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_SP_32hr,GEODES040,2016,11,17,RNA,1.1 ng/uL in 28 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,390mL,,Sequenced
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_SP_36hr,GEODES041,2016,7,26,RNA,3-8 ng/uL in 30 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,490mL,,Sequenced
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_SP_36hr,GEODES042,2016,7,26,RNA,3-8 ng/uL in 30 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,395mL,,Sequenced
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_SP_36hr,GEODES043,2016,7,26,RNA,3-8 ng/uL in 30 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,420mL,,Sequenced
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_SP_36hr,GEODES044,2016,11,17,RNA,0,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,490mL,,Failed extraction
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_SP_40hr,GEODES045,2016,7,26,RNA,3-8 ng/uL in 30 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,400mL,,Sequenced
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_SP_40hr,GEODES046,2016,7,26,RNA,3-8 ng/uL in 30 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,410mL,,Sequenced
"GEODES: Gene Expression in Oligotrophic, Dystropic, and Eutrophic Systems",GEODES_SP_40hr,GEODES047,2016,7,26,RNA,3-8 ng/uL in 30 uL,RNAse free water,https://github.com/McMahonLab/geodes/blob/master/protocols/GEODES_RNA_extraction_protocol.docx,412mL,,Sequenced
